artifact_alias,file_path,sha256,file_size_bytes
r3_native_gpm_cell_evidence_csv,outputs/reports/v2_3f_r3_native_gpm_cell_evidence.csv,efd3ada8b3b1d7299c82c26206e3b5e8c03910657d1148637807f50a15b780da,481
r3_derived_support_location_evidence_csv,outputs/reports/v2_3f_r3_derived_support_location_evidence.csv,fca32153fdae452bb7523469b92bad7c1e1e291e327ba3a78137e2d2a38c5cab,1294
r3_segment_native_cell_mapping_csv,outputs/reports/v2_3f_r3_segment_native_cell_mapping.csv,7a3f3e66050817bbc0740a1b451b9debdbffa7511549d52d7c795ab946fe96a3,10484
r3_dhi_constant_value_trace_csv,outputs/reports/v2_3f_r3_dhi_constant_value_trace.csv,ad5808d362b464541773d5e9f31de56d0dcf917f37203cb9825f4013bb1499ae,1505
r3_authoritative_scenario_definitions_csv,outputs/reports/v2_3f_r3_authoritative_scenario_definitions.csv,4ccad9a8332ccd3ac55c18e8808dde0d71a7fc1e3c9a67f2bcad3dca7462cc6b,1642
r3_scenario_pairwise_spearman_csv,outputs/reports/v2_3f_r3_scenario_pairwise_spearman.csv,fb4d11843886c29c4d189c60f8196ea32225bbbfced318633d1271bce25bee46,3899
r3_pooled_cross_scenario_severity_association_csv,outputs/reports/v2_3f_r3_pooled_cross_scenario_severity_association.csv,5dc0c1ec6441cdd1eb49dfad59aa6de49eba20255dd665bf43d28189f56ab0a0,1150
r3_uncertainty_reconciliation_csv,outputs/reports/v2_3f_r3_uncertainty_reconciliation.csv,ee7f25cea97d11588852e476e09d70332157f01a77f4dfd520547fb5403d682a,642
r3_artifact_supersession_table_csv,outputs/reports/v2_3f_r3_artifact_supersession_table.csv,034c1d38c0f93b16b01d4ba000e9ff366edceaeefa60d4567a3587dd1adf655c,938
r3_validation_audit_results_csv,outputs/reports/v2_3f_r3_validation_audit_results.csv,4d901f05ac31469934dec68d723c4f62fbad089b2d15c470f5e831986c0cd39d,821
