artifact_alias,file_path,sha256,file_size_bytes,classification
_gitattributes,.gitattributes,cd3cc87e5d04ca504df16130c3b8a8d590f32f8a3579a91fa201e26f7c3cf4ac,549,UI_OR_CONFIGURATION
README_md,README.md,767112f72704d0695ed6ac9d7521fc8b2ea3f411726f4c21ee1a090e94412c74,14045,REPRODUCTION_DEPENDENCY
apps_web_app_corridor_page_tsx,apps/web/app/corridor/page.tsx,b2c1d36e03a9b4136905bb56602f5bb7be15be0d1902afad3dc2efe6c55d30e5,17795,UI_OR_CONFIGURATION
configs_scenario_definitions_yaml,configs/scenario_definitions.yaml,d744a8c12a2d39254a80cefc0e69eb617d31c330f28cd3f88bc7b5b0cbb0e5c4,2589,UI_OR_CONFIGURATION
docs_v2_V2_3F_R8A1_CANDIDATE_REPORT_md,docs/v2/V2_3F_R8A1_CANDIDATE_REPORT.md,c39dbe31cff2c08ad91dc337a98d3fd68fc8f316af01792fc7f9aa165fe99f3c,987,DOCUMENTATION
docs_v2_V2_3F_R8_VERIFIABLE_RELEASE_CANDIDATE_REPORT_md,docs/v2/V2_3F_R8_VERIFIABLE_RELEASE_CANDIDATE_REPORT.md,192511cc090023ea5e26c2af7e731e42a68bfb3aff6ad5f07f58577af56c116d,871,DOCUMENTATION
outputs_reports_v2_3f_r5_output_hashes_csv,outputs/reports/v2_3f_r5_output_hashes.csv,925050cf183be141c06aa8ad137ca936665d495848fd5b6ddfffca35a0e0f1b3,3788,CHANGED_FILE
outputs_reports_v2_3f_r6_output_hashes_csv,outputs/reports/v2_3f_r6_output_hashes.csv,d9c75fbd280b77663164432574242c6c020b27a66545b3faf828ca05a04ab0de,3925,CHANGED_FILE
outputs_reports_v2_3f_r8_authoritative_raster_metadata_csv,outputs/reports/v2_3f_r8_authoritative_raster_metadata.csv,baff33e5f547af8b389c63d70cadbdff5f4a0cc66db32964610fa4c76767d205,869,CANONICAL_OUTPUT
outputs_reports_v2_3f_r8_derived_support_location_evidence_csv,outputs/reports/v2_3f_r8_derived_support_location_evidence.csv,162f64eef1d2ec37d0e4c86f025caf19cbee47e2932d7af6c646a9e75a94bb8e,2220,CANONICAL_OUTPUT
