artifact_alias,file_path,sha256,file_size_bytes
r6_changelog_md,CHANGELOG.md,7e74eb4c791afb351da30e0868e00c301cc9a38620302719bd55d9e740c65c70,7223
r6_readme_md,README.md,0059629e18e40cd821431e4bf9642948a785a3bf0152e2b37f8ce1f54ccaa3ca,14116
r6_web_eslintrc_json,apps/web/.eslintrc.json,677f6c4e85c78d47bfcf9796fa13da2b95e16de4ea2b41a5400e5b10f1757750,43
r6_web_corridor_page_tsx,apps/web/app/corridor/page.tsx,350e8125bbae0f58f89c4d09ca00feef9167c76fca7a4fa19c9691b5f6dca6a3,17826
r6_web_role_modal_tsx,apps/web/components/layout/RoleSelectionModal.tsx,235b419a0b196281f68f9862511feda2b850b36b1bf8e10e1ba854861e490abb,6690
r6_web_package_lock_json,apps/web/package-lock.json,d15d087f5dc29c8189f2949b6ae84bd3946ea41d57513352125c88576b454e65,236897
r6_web_package_json,apps/web/package.json,cfc08fa946ba7d944906c4aa00cbacd28ee5d1a593b31efd8c8715701815cb12,738
r6_completion_report_doc,docs/v2/V2_3F_COMPLETION_REPORT.md,d20c2f7b403d7d75163344390d31d96eee1214efe94e868f9e9843e8e5c0b234,1536
r6_data_dictionary_doc,docs/v2/V2_3F_DATA_DICTIONARY.md,66cb561b07db408f2e1f615083c5dbc2cfca029b04c2ef91c194e8f8da389078,3664
r6_methodology_doc,docs/v2/V2_3F_METHODOLOGY_AND_LIMITATIONS.md,2737eb930c409e26ec478766c67eb66957982939962d619a4cde7e79d78f63df,2104
r6_release_report_doc,docs/v2/V2_3F_R6_FORENSIC_EVIDENCE_CORRECTION_REPORT.md,131f42f5f194813d0c3be61e0780901cc51d7f554b13dc247a77afdb2dae1e91,1290
r6_authoritative_raster_metadata_csv,outputs/reports/v2_3f_r6_authoritative_raster_metadata.csv,cfed7bd16a113bf13a64ff8a780849748702da258d126f61a8f6c3eeb96b9247,682
r6_derived_support_location_evidence_csv,outputs/reports/v2_3f_r6_derived_support_location_evidence.csv,1f753c0550629f55a65d7b2440be233b424493e8d81c7dd156b381e9eecb9b62,2229
r6_deterministic_audit_summary_csv,outputs/reports/v2_3f_r6_deterministic_audit_summary.csv,df996b41a641cf4c1867eab968a55c40111ce77a732e1bf421a1175400e92b83,451
r6_dhi_constant_value_trace_csv,outputs/reports/v2_3f_r6_dhi_constant_value_trace.csv,306c1d16880ff0795c711650ec7ed2f460a7816c943132bfe60f8121d2f4543f,1782
r6_dhi_d_redundancy_audit_csv,outputs/reports/v2_3f_r6_dhi_d_redundancy_audit.csv,89e1f09a38a03efe59d6a187d3d6321d19ce8a2c00dea8910ea7dc0f84439544,834
r6_native_cell_evidence_csv,outputs/reports/v2_3f_r6_native_cell_evidence.csv,fc92a5760c78d6ec4e5fa7ec9503fe1d2dce1ca607cb7c42af62cac275953cef,3348
r6_native_mapping_path_reconciliation_csv,outputs/reports/v2_3f_r6_native_mapping_path_reconciliation.csv,bfbabe8ee130dad8194a599f4d296801e4dfbf77c3d0253bc90724d40cfb8c65,399
r6_r5_candidate_sha_reconciliation_csv,outputs/reports/v2_3f_r6_r5_candidate_sha_reconciliation.csv,028ee5e20c0243b1f9625fc9691ad37977a99b88e78b6fd5658199e35720cc71,577
r6_r5_comparison_audit_csv,outputs/reports/v2_3f_r6_r5_comparison_audit.csv,a4b8310de5295aa03488c802958fc04598956e69ec63b69c5cae32be7ae85644,781
r6_scenario_pairwise_spearman_csv,outputs/reports/v2_3f_r6_scenario_pairwise_spearman.csv,902b262d1e727898d9af31113273fc3209a7e360900b7de171f01c6dd0aea43e,5838
r6_scenario_variable_provenance_csv,outputs/reports/v2_3f_r6_scenario_variable_provenance.csv,97ab865311713c0f442cb852ad9bfccdcd5836d16938a45b11a0003f419bd558,5342
r6_segment_native_cell_mapping_csv,outputs/reports/v2_3f_r6_segment_native_cell_mapping.csv,28ba201e058153df74665dd272b4898043c41f74cc84d70674f13ec47815af0a,46726
r6_uncertainty_reconciliation_csv,outputs/reports/v2_3f_r6_uncertainty_reconciliation.csv,91445b3c45b64dd8b9cee8896614e12366e2a5414e5995646ccfe7a961b7cdec,1996
r6_validation_audit_results_csv,outputs/reports/v2_3f_r6_validation_audit_results.csv,39d241b69abe0c4e5a2fd7f31d67a33ee5af8bb9b70b50d5a7640dd34a67354f,994
r6_reproducibility_script,scripts/run_v2_3f_r6_reproducibility.py,0ec80b9796ce5a8ef22968e2bf327d082d78504df1de7252b98a212397ef29be,37005
r6_unit_test_suite,tests/test_nh44_v2_3f_r6_forensic_evidence_correction.py,8619a409f7c90162d8d9b80706bf45719c4bb9dfbd7504e8af3bb279ffc04a8b,6212
