artifact_alias,file_path,sha256,file_size_bytes
r4_artifact_supersession_table_csv,outputs/reports/v2_3f_r4_artifact_supersession_table.csv,5e37f235a9128a85364681395cf332f0913a67bd1e1d74a41bd0861211a67d94,1101
r4_authoritative_scenario_definitions_csv,outputs/reports/v2_3f_r4_authoritative_scenario_definitions.csv,8f39ee0a18430e811186a9d32b987641a783958c780e37711f1fa6c20b1931f3,2145
r4_derived_support_location_evidence_csv,outputs/reports/v2_3f_r4_derived_support_location_evidence.csv,d0456c5cbd0a5c5118ed321b815ec5c7f9788429ef55946c62041e8a1b4dd1ca,2533
r4_dhi_constant_value_trace_csv,outputs/reports/v2_3f_r4_dhi_constant_value_trace.csv,d79f4529c1432a3e638329cc51c2cc99696708cdb3d6cd4fb2ee60d1f3ebdb8b,1600
r4_dhi_d_redundancy_audit_csv,outputs/reports/v2_3f_r4_dhi_d_redundancy_audit.csv,f9281bf6c402d1c5e3b7df7ac6fa85502790d3637caa57c413c352ef76479ff8,345
r4_native_gpm_cell_evidence_csv,outputs/reports/v2_3f_r4_native_gpm_cell_evidence.csv,5f32a420b12b28a1e761d5392d638f9fd71ff3f160e99e24fd9dc3518f77e339,982
r4_pooled_cross_scenario_severity_association_csv,outputs/reports/v2_3f_r4_pooled_cross_scenario_severity_association.csv,5dc0c1ec6441cdd1eb49dfad59aa6de49eba20255dd665bf43d28189f56ab0a0,1150
r4_scenario_pairwise_spearman_csv,outputs/reports/v2_3f_r4_scenario_pairwise_spearman.csv,19199ce6258fbe323c13e6500a13d2051032c77e29eac2b0d762d4dc43e8419e,5838
r4_segment_native_cell_mapping_csv,outputs/reports/v2_3f_r4_segment_native_cell_mapping.csv,b2aefd82f945f41fff80b8e7197595bdfb4e53cb5fe3b551df7bea8a51f8f885,12867
r4_segment_support_location_mapping_csv,outputs/reports/v2_3f_r4_segment_support_location_mapping.csv,c4532872c691a51c72efaf02cc6fed22247ea8152c0d8b9eba556a85ca278c84,15234
r4_uncertainty_reconciliation_csv,outputs/reports/v2_3f_r4_uncertainty_reconciliation.csv,88d7efe5328a770cd0946ec6eafb90e9993719efb9bd8da016bec670238c73fa,1964
r4_validation_audit_results_csv,outputs/reports/v2_3f_r4_validation_audit_results.csv,84091053ea896e91295f3d477b42660a1ffd7002c85a57b08e51dc58c8f5c6f9,978
